Simulation,Terrain,Orientation,NumberOfFloors,FloorHeight,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingSystemVintage,Open Office: Heating Setpoint,Open Office: Cooling Setpoint,Open Office: ACH,Open Office: PPA,Meeting: Heating Setpoint,Meeting: Cooling Setpoint,Meeting: ACH,Meeting: PPA,Volume [m³],Area [m²],Construction Area [%],Window to Wall Ratio North [%],Window to Wall Ratio East [%],Window to Wall Ratio South [%],Window to Wall Ratio West [%],HVAC-System Capacity [kW],Baseboard Capacity Sum [kW],EUI [kWh/m²a],EUI Heating [kWh/m²a],EUI Electricity [kWh]
Simulation034,Country,141,8,4.39,Low-SHGC-Value,Passive,DHWBaseboard,Gas_TanklessHeater,2010,21.8,24.8,5.8,0.15,23.4,25,5.7,0.31,93934.59829,21397.4028,4.189727,27.86,17.61,27.86,17.61,2266.964832,3067.562363,136.916,81.381,55.535
Simulation035,Country,30,9,4.28,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2004,23.8,24.2,4.2,0.15,24,25.2,5.1,0.25,61416.10952,14349.5583,5.458774,29,22.04,29,22.04,2119.532216,5457.317533,109.932,54.726,55.206
Simulation036,Urban,9,10,2.84,External-Shading,Passive,DHWBaseboard,Gas_TanklessHeater,2016,22,25.9,4.7,0.12,22.4,25.1,6.4,0.36,42805.73892,15072.44328,5.628531,18.04,12.72,18.04,12.72,1477.599432,2032.864417,119.155,63.43,55.725
Simulation037,Urban,142,9,3.26,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2010,23.2,24.6,4.9,0.16,23.3,26.8,6.8,0.37,40000.30523,12270.03228,5.464494,21.14,14.76,21.14,14.76,1542.455171,4116.834399,95.997,39.427,56.57
Simulation038,Urban,42,2,3.47,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2013,23.5,24.5,4.5,0.11,21.6,26.6,6.8,0.45,9223.180676,2657.97714,8.368555,19.82,17.8,19.82,17.8,461.512172,1194.957583,123.045,70.863,52.182
Simulation039,Suburbs,170,9,4.01,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_TanklessHeater,2004,21.6,24.3,4.4,0.18,21.8,26.8,5.3,0.39,118887.3034,29647.70658,3.777234,28.19,20.47,28.19,20.47,2656.58572,3421.042626,126.669,70.808,55.862
Simulation041,City,165,7,3.16,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,2010,22.9,25.8,5.6,0.14,21.8,26.1,5.1,0.48,74246.096,23495.6,3.795729,23.51,17.99,23.51,17.99,1920.102828,2641.083649,114.501,58.996,55.505
Simulation042,Suburbs,146,6,3.19,External-Shading,Passive,DHWBaseboard,Electric_WaterHeater,1980_2004,22.2,24.7,5.6,0.14,24,24.4,5.9,0.46,43763.80629,13719.06153,4.704946,36.64,23.43,36.64,23.43,1311.408204,1818.470519,117.495,62.068,55.427
Simulation043,Country,79,7,4.13,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2016,22,24.9,4.6,0.19,23.4,25.6,5.3,0.22,49895.13298,12081.146,5.632609,13.49,28.72,13.49,28.72,1682.4613,2238.780792,185.186,130.073,55.113
Simulation044,Country,45,1,3.3,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2004,22.5,24.5,5.9,0.08,23.1,24.6,5.1,0.22,17897.48048,5423.478932,5.02424,24.67,17.8,24.67,17.8,738.172901,1861.655549,106.564,56.951,49.612
Simulation045,Suburbs,139,4,4.18,Low-SHGC-Value,GEG,DHWBaseboard,Electric_WaterHeater,2013,23.4,25,4.6,0.11,21.3,26.9,6.3,0.43,37681.63724,9014.74575,4.892035,40.61,31.61,40.61,31.61,1294.360968,1774.505654,183.853,131.251,52.603
Simulation046,City,165,7,3.71,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_WaterHeater,1980_2004,22,26,4.3,0.09,20.1,24.6,5.9,0.3,63817.48961,17201.47968,4.486644,43.65,23.35,43.65,23.35,1762.1258,2328.918218,143.678,88.257,55.421
Simulation047,Country,19,1,3.15,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,2013,24,24.3,4.3,0.17,23.4,24.7,6.2,0.49,4398.469614,1396.33956,9.975601,60.22,39.24,60.22,39.24,254.094736,680.508769,130.47,76.313,54.158
Simulation049,Suburbs,178,3,3.31,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2016,23.9,25.5,5.8,0.09,20,25.5,6,0.48,19556.44411,5908.291272,5.516399,60.43,48.41,60.43,48.41,783.397312,1927.751547,105.502,51.533,53.97
Simulation050,City,142,4,3.51,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2004,23.3,24.9,5.8,0.13,22.8,26.5,6.2,0.16,33564.18265,9562.4452,4.788761,26.07,19.52,26.07,19.52,1163.264858,3015.204034,95.38,39.605,55.774
Simulation051,Urban,148,10,2.99,External-Shading,Passive,ASHPBaseboard,Electric_TanklessHeater,2019,21.8,25.3,4.6,0.19,21.4,26.1,5.1,0.36,80500.86252,26923.36539,4.083205,36.36,26.48,36.36,26.48,2066.700395,4593.31016,72.243,15.426,56.817
Simulation053,Suburbs,77,9,3.08,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,1980_2004,22,24.6,5.8,0.15,20.9,26.5,5.9,0.49,32052.40685,10406.6256,6.016396,50.22,57.21,50.22,57.21,1342.34826,1853.702475,139.967,84.057,55.909
Simulation054,Suburbs,149,1,3.7,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2010,21.2,25.3,5.6,0.07,21.2,26.4,5.3,0.44,15540.61615,4200.166528,5.386224,24.94,19.26,24.94,19.26,569.71344,771.112201,183.128,130.476,52.652
Simulation055,Suburbs,71,5,3.2,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,2004,23.9,25.5,4.6,0.17,23.8,25.9,6.2,0.17,32967.29498,10302.27968,4.605271,16.8,21.86,16.8,21.86,1129.019416,2882.017392,94.528,38.909,55.619
Simulation056,City,23,3,4.23,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,2007,23.7,24.5,4.2,0.2,23.5,24.6,6.5,0.26,36651.96864,8664.768,4.828261,27.34,18.04,27.34,18.04,1072.864052,2779.995655,98.405,44.014,54.392
Simulation057,Country,44,9,4.12,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2016,21.7,24.2,4.8,0.12,22.7,25.4,6.7,0.37,39099.19437,9490.09572,6.234915,34.74,30.63,34.74,30.63,1541.719499,3480.544671,117.275,60.234,57.04
Simulation061,Urban,104,5,4.17,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,2007,21.6,25.4,5,0.14,21.9,25,6.5,0.44,24915.73443,5974.996266,6.75316,49.85,65.36,49.85,65.36,1010.81929,1315.655186,218.014,164.74,53.274
Simulation062,Suburbs,80,9,3.67,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,1980_2004,23.4,25.1,5.2,0.09,21,25.1,6.3,0.16,34871.78363,9501.8484,6.190436,22.01,40.67,22.01,40.67,1413.248769,3650.483704,104.821,49.339,55.483
Simulation063,City,72,7,3.55,Low-SHGC-Value,Passive,DHWBaseboard,Gas_WaterHeater,1980_2004,21.6,24,4.8,0.15,23.6,24.5,5.1,0.38,50919.96403,14343.65184,5.027623,46.65,65.68,46.65,65.68,1423.581348,1955.439589,133.545,76.888,56.657
Simulation064,City,20,6,3.63,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2010,21.1,24.2,5,0.13,23.3,25.3,5.4,0.2,29756.71312,8197.44163,6.632021,63.33,49.35,63.33,49.35,1155.359322,2642.852016,94.176,41.625,52.551
Simulation065,Suburbs,136,8,3.6,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_WaterHeater,2007,23.8,24.2,5.6,0.09,22.2,25.6,5.5,0.28,49789.37939,13830.38316,4.920683,23.09,15.68,23.09,15.68,1559.36142,2144.684443,160.589,104.074,56.516
Simulation066,Country,5,6,4.37,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,2007,21.7,25.3,5.4,0.09,23.8,26.3,5.3,0.15,70611.68946,16158.28134,4.186088,71.3,48.48,71.3,48.48,1851.84071,2398.55442,180.016,124.402,55.613
Simulation068,Urban,1,2,3.4,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_TanklessHeater,2007,23.8,24.3,4.6,0.08,22.5,24,6.8,0.28,11128.1184,3272.976,7.436553,23.93,16.23,23.93,16.23,471.09685,626.235729,252.699,197.855,54.843
Simulation069,Country,47,9,2.82,Low-SHGC-Value,GEG,BoilerBaseboard,Gas_TanklessHeater,2016,22.2,24.2,5.4,0.09,20.4,25.8,5.2,0.37,25142.4432,8915.76,6.68958,45.04,56.76,45.04,56.76,1163.74964,1531.405969,182.393,127.269,55.123
Simulation070,Country,149,1,3.45,Low-SHGC-Value,GEG,DHWBaseboard,Electric_WaterHeater,pre_1980,22.2,25.9,5.4,0.14,22.1,24.5,5.4,0.5,14443.57114,4186.54236,5.467444,23.91,18.37,23.91,18.37,583.376556,798.607548,181.659,133.828,47.831
Simulation073,Suburbs,39,4,4.08,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2019,21.4,25.4,5.2,0.17,22.4,25.6,5.5,0.19,31896.68663,7817.81535,5.099398,38.78,33,38.78,33,1095.12581,1434.973821,193.404,137.631,55.774
Simulation074,Suburbs,43,3,4.32,External-Shading,GEG,BoilerBaseboard,Gas_TanklessHeater,2016,23.4,25.8,4.2,0.13,24,26,5.4,0.46,34716.37968,8036.199,4.656976,26.79,21.91,26.79,21.91,1146.71488,1549.766447,213.699,159.435,54.264
Simulation075,Urban,148,7,3.53,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2013,23.5,25.6,5.4,0.2,22.6,24.2,6,0.38,43686.27183,12375.7144,5.071624,26.97,16.48,26.97,16.48,1518.539654,3909.079647,93.911,40.657,53.253
Simulation076,Suburbs,173,2,2.89,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_TanklessHeater,2013,23.8,25.6,4.3,0.12,20.4,24.3,6,0.47,11690.50581,4045.157718,6.655456,27.7,22.39,27.7,22.39,490.734943,1214.228352,101.367,47.033,54.334
Simulation077,Suburbs,67,7,3.53,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,1980_2004,22.6,25,4,0.07,20.5,26.9,6.2,0.47,46859.18437,13274.55648,5.47404,28.99,30.21,28.99,30.21,1592.02665,2080.372816,173.966,118.072,55.894
Simulation079,Country,137,10,3.21,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,2016,23.3,25.9,5.1,0.14,20.3,25.5,5,0.37,43438.7116,13532.30891,6.04006,37.58,23.76,37.58,23.76,1661.981651,4238.292907,91.87,36.756,55.114
Simulation081,Country,116,8,4.17,External-Shading,GEG,ASHPBaseboard,Electric_TanklessHeater,2013,21.9,24.8,5.1,0.07,22.7,26.5,6,0.32,87176.72383,20905.68917,3.910955,53.09,68.98,53.09,68.98,2551.066476,5982.938452,89.351,34.486,54.865
Simulation082,Country,177,4,3.98,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2019,21.2,26,5.1,0.11,23.9,26.3,6.2,0.41,23296.77781,5853.46176,6.12193,64.8,50.42,64.8,50.42,869.840604,1199.607902,176.604,124.177,52.428
Simulation085,Country,15,4,3.84,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,1980_2004,21.4,24.2,4.3,0.14,20.1,25.3,5.4,0.31,35568.92344,9262.74048,4.913154,25.33,19.87,25.33,19.87,1136.95956,1487.136147,176.588,121.321,55.267
Simulation086,Suburbs,99,6,3.93,External-Shading,Passive,ASHPBaseboard,Electric_TanklessHeater,2016,22,24.7,5.1,0.15,23.5,24.8,6,0.29,37219.36997,9470.5776,6.05764,48.69,63.84,48.69,63.84,1406.149219,3390.385791,95.649,42.741,52.908
Simulation087,Country,0,8,4.24,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,pre_1980,21.5,24.8,5.4,0.06,22.4,26.4,6.8,0.3,41257.7756,9730.607453,6.371244,27.27,19.11,27.27,19.11,1480.895201,3364.765937,108.937,53.061,55.877
Simulation088,Urban,75,9,3.97,External-Shading,NZEB,BoilerBaseboard,Gas_WaterHeater,pre_1980,23.3,25,4.3,0.15,23.4,25,6.8,0.37,63955.21006,16109.6247,4.748108,36.42,40.8,36.42,40.8,2326.55752,3120.567384,191.977,135.607,56.369
Simulation090,Suburbs,178,2,4.45,External-Shading,Passive,DHWBaseboard,Electric_WaterHeater,2007,21.2,25.6,4,0.19,21.2,25.7,6.4,0.28,29248.94394,6572.79639,5.595829,28.73,22.54,28.73,22.54,905.98572,1235.985227,166.949,114.644,52.306
Simulation092,Suburbs,152,2,4.24,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,2010,21.6,24.2,4.2,0.07,21.1,25.1,5.3,0.2,22392.21473,5281.18272,5.427947,45.56,32.16,45.56,32.16,719.066212,1620.461108,102.849,53.45,49.399
Simulation094,Country,171,1,3.45,External-Shading,GEG,BoilerBaseboard,Electric_TanklessHeater,2013,23.2,25,4,0.11,22.1,26,5.8,0.31,11536.45693,3343.90056,6.596892,41.34,28.28,41.34,28.28,537.09732,730.172916,251.104,203.543,47.561
Simulation095,Urban,97,2,3.21,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_WaterHeater,2010,22.8,24.3,5.3,0.17,21.8,24.6,5.6,0.28,16732.88177,5212.735755,6.629189,31.16,39.95,31.16,39.95,657.257406,1524.73711,98.609,46.115,52.494
Simulation096,Suburbs,51,6,3.81,Low-SHGC-Value,GEG,DHWBaseboard,Gas_TanklessHeater,2016,22.6,25.6,5.3,0.11,20.4,26.4,5.4,0.33,35115.71052,9216.72192,5.274111,16.84,25.67,16.84,25.67,1133.745696,1549.944851,168.43,113.494,54.936
Simulation097,Urban,37,10,4.39,External-Shading,Passive,DHWBaseboard,Electric_WaterHeater,2016,22.2,24.8,5.6,0.09,22.3,24.4,6.7,0.38,83737.24597,19074.5435,5.137927,43,32.73,43,32.73,2684.840556,3679.935265,159.859,103.834,56.024
Simulation098,Suburbs,106,9,4.07,External-Shading,GEG,ASHPBaseboard,Electric_TanklessHeater,2013,21.6,24.9,5.5,0.11,21.9,26.9,6.3,0.17,62245.33751,15293.69472,4.754306,21.66,23.72,21.66,23.72,2096.324745,4818.56082,101.771,45.209,56.562
Simulation099,Suburbs,29,8,3.27,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_WaterHeater,1980_2004,23.8,25.7,4.1,0.15,22,26.5,5.5,0.39,31867.85328,9745.52088,6.760356,23.42,18.8,23.42,18.8,1310.257656,1806.733763,181.174,127.03,54.143
Simulation100,Suburbs,147,3,4.14,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2016,21,25.3,4.1,0.12,22.6,24.8,6,0.33,24301.60244,5869.95228,5.691766,26.31,16.67,26.31,16.67,824.9482,1082.29508,205.377,152.99,52.389
Simulation101,City,161,4,4.33,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,2007,23.1,24.2,4.2,0.1,22.2,25.2,5.9,0.38,36597.22952,8452.016055,5.245344,25.94,22.4,25.94,22.4,1304.313283,3453.915407,111.115,56.192,54.924
Simulation102,Suburbs,65,8,2.88,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2019,23.1,25.3,4.5,0.18,21.2,25.8,6.6,0.47,45917.00647,15943.40502,4.533184,14.34,23.06,14.34,23.06,1516.646786,3844.350395,77.652,23.876,53.776
Simulation103,Urban,150,8,4.1,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2004,22.6,24.1,4.2,0.15,22.7,25,6.3,0.42,48174.139,11749.79,5.698151,68.11,52.23,68.11,52.23,1720.96819,3992.336539,107.743,52.408,55.336
Simulation107,Country,144,9,2.94,External-Shading,NZEB,BoilerBaseboard,Gas_WaterHeater,pre_1980,21.5,24.7,4.6,0.05,21.4,26,5.4,0.48,48049.55666,16343.38662,4.777965,20.85,15.1,20.85,15.1,1537.19744,2000.013989,138.92,82.39,56.531
Simulation108,City,152,6,3.5,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2004,21.5,25.1,5,0.14,20.5,24.4,6.6,0.36,22305.88584,6373.11024,7.154936,61.28,48.66,61.28,48.66,903.6965,1893.621994,96.488,40.274,56.215
Simulation109,Suburbs,164,7,3.64,Low-SHGC-Value,GEG,BoilerBaseboard,Electric_WaterHeater,2016,21.6,25.9,4.4,0.17,24,26.9,5.8,0.29,45221.1147,12423.38316,5.274462,40.57,37.05,40.57,37.05,1609.29275,2102.814329,194.945,141.088,53.857
Simulation110,Suburbs,55,10,2.8,External-Shading,GEG,BoilerBaseboard,Gas_TanklessHeater,1980_2004,22.5,25.6,4.3,0.1,20.1,25.8,5.6,0.23,90016.73365,32148.83345,3.45185,17.68,20.5,17.68,20.5,2318.63223,2989.720495,111.16,55.114,56.045
Simulation111,City,85,6,3.54,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,1980_2004,21.1,25.4,5,0.11,20.6,25.4,5.4,0.16,50788.83222,14347.12775,4.599934,16.86,26.07,16.86,26.07,1411.072656,1947.370992,132.256,76.842,55.414
Simulation112,Urban,99,7,4.2,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,1980_2004,21.8,26,5.8,0.1,22.3,24.4,6.6,0.36,42698.50765,10166.31134,5.286713,18.01,28.15,18.01,28.15,1443.172283,3259.144927,103.488,49.307,54.181
Simulation114,Urban,89,9,4.05,External-Shading,Passive,DHWBaseboard,Gas_TanklessHeater,2016,21.7,24.8,4.5,0.2,21.6,25.7,6.2,0.48,70261.73685,17348.577,5.084085,49.43,66.45,49.43,66.45,1986.833784,2724.708622,129.663,75.484,54.18
Simulation116,Urban,16,5,3.81,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2010,22.7,25.2,4.9,0.19,20,24.8,5.4,0.15,31088.83072,8159.798088,5.816847,67.31,42.58,67.31,42.58,1060.55907,2410.830341,98.726,44.802,53.924
Simulation117,Country,123,9,3.13,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,2013,22.4,25.6,4.7,0.07,23.1,25.4,5.5,0.22,53058.22599,16951.5099,4.46579,17.83,21.22,17.83,21.22,1793.479924,4482.261321,89.692,33.088,56.604
Simulation118,City,8,1,3.85,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2016,23.3,24.4,4.7,0.16,21.2,25.8,5.7,0.36,5106.46136,1326.3536,11.274237,23.73,18.36,23.73,18.36,269.510114,717.14628,136.513,86.258,50.256
Simulation119,Suburbs,118,7,3.67,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,pre_1980,23.1,24.9,4.8,0.18,21.4,25.8,5.7,0.41,36182.64597,9859.0316,5.891377,51.48,64.32,51.48,64.32,1428.93214,1896.572186,200.745,146.234,54.511
Simulation120,Urban,113,6,3.72,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2004,21.8,26,5.4,0.08,22.4,25.4,6.6,0.5,23831.81613,6406.402185,6.694278,17.56,22.84,17.56,22.84,896.157228,1215.436589,184.555,130.202,54.353
Simulation121,Suburbs,119,10,3.3,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,1980_2004,23,25.8,5.5,0.19,21.4,25.3,6.2,0.31,39091.97944,11846.05438,6.158817,24.41,35.02,24.41,35.02,1485.669012,2024.523942,161.997,107.539,54.457
Simulation123,City,70,7,3.81,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,2010,23.7,25.3,5.5,0.13,20,26.4,5.5,0.44,61499.21558,16141.5264,4.496726,32.26,39.43,32.26,39.43,1896.38177,2480.354442,176.771,120.755,56.017
Simulation124,Country,109,9,4.15,External-Shading,Passive,DHWBaseboard,Gas_WaterHeater,2004,23.7,24.2,4.3,0.16,22.8,24.5,5.3,0.38,64773.53532,15608.0808,5.103702,16.57,27.05,16.57,27.05,1929.747168,2676.778371,164.934,108.34,56.595
Simulation125,Urban,152,8,4.16,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2016,23.1,25.6,5.5,0.16,21.6,24.8,6.5,0.16,89573.3721,21532.0606,4.016742,26.85,20.67,26.85,20.67,2519.109768,3475.229038,149.403,93.201,56.202
Simulation126,Urban,43,2,3.26,External-Shading,Passive,ASHPBaseboard,Gas_WaterHeater,2013,21.2,25.7,4.3,0.2,22.5,26.1,6.5,0.41,7944.642103,2437.00678,8.703911,22.5,16.37,22.5,16.37,365.817692,834.8332,106.629,51.552,55.076
Simulation127,Suburbs,5,7,3.96,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2007,23.9,24.8,5.5,0.12,20.1,24.4,5,0.28,74441.5535,18798.3721,4.269937,28.7,21.6,28.7,21.6,2092.18849,5205.703468,93.225,39.089,54.136
Simulation128,Suburbs,176,5,3.6,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,2013,24,25.4,4.6,0.12,20.4,26,5.6,0.43,39053.15127,10848.09758,4.685108,41.13,25.42,41.13,25.42,1242.36703,1638.952105,182.549,126.794,55.755
Simulation132,City,134,10,4.2,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2004,23.3,24.1,4.7,0.18,23,26,6.8,0.34,48459.23107,11537.91216,5.77213,29.65,44.58,29.65,44.58,1926.683759,4911.399887,110.489,53.659,56.83
