Simulation,Unnamed: 0,Terrain,Orientation,NumberOfFloors,FloorHeight,Fassade,RasterLength-X,RasterLength-Y,Arm-Latitudinal-NumberOfSegments,Arm-Longitudinal-NumberOfSegments,BaseBody-Inside-Latditudinal-NumberOfSegments,Courtyard_SegmentCount_RasterLength-Y,Has_Courtyard-Roof,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingSystemVintage,Open Office: Heating Setpoint,Open Office: Cooling Setpoint,Open Office: ACH,Open Office: PPA,Meeting: Heating Setpoint,Meeting: Cooling Setpoint,Meeting: ACH,Meeting: PPA,Volume [m³],Area [m²],A/V,Window to Wall Ratio [%],Construction Area [%],Window to Wall Ratio North [%],Window to Wall Ratio East [%],Window to Wall Ratio South [%],Window to Wall Ratio West [%],EUI [kWh/m²a],EUI Heating [kWh/m²a],EUI Cooling [kWh/m?a],EUI Interior Lighting [kWh/m?a],EUI Exterior Lighting [kWh/m?a],EUI Interior Equipment [kWh/m?a],EUI Exterior Equipment [kWh/m?a],EUI Fans [kWh/m?a],EUI Pumps [kWh/m?a],EUI Heat Rejection [kWh/m?a],EUI Humidification [kWh/m?a],EUI Heat Recovery [kWh/m?a],EUI Water Systems [kWh/m?a],EUI Refrigeration [kWh/m?a],EUI Generators [kWh/m?a],EUI Electric Equipment [kWh/m?a],EUI Electricity [kWh],EUI Natrual Gas [kWh/m?a],EUI District Heating [kWh/m?a],EUI District Cooling [kWh/m?a],Boiler  Design Size Nominal Capacity [kW],CentralAirSourceHeatPumpCapacity[kW],District Heating Peak [kW],Baseboard Capacity Average [kW],Baseboard Capacity Sum [kW],Service Hot Water Tank Volume [m],Service Hot Water Design Flow Rate [l/min]
Simulation202,202,City,146,4,4.16,Vertical-Windows,3.75,2.79,4,5,3,7.06,TRUE,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,1980_2004,21.7,24.1,5,0.12,23.5,24.2,6.9,0.18,39915.8604,9595.15875,0.240385,0.24041,4.657914,28,20.91,28,20.91,154.125,97.984,0,15.929,0,0,0,0,0.105,0,0,0,4.138,0,0,35.969,56.145353,0,97.991556,0,0,0,930.84629,37.543737,1539.293202,470,7.86
Simulation203,203,City,58,10,3.88,Horizontal-Windows,3.82,3.37,5,4,4,11.8,TRUE,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2013,21.6,25.2,5.8,0.11,23.9,25.6,5.6,0.3,137868.6557,35533.15868,0.257732,0.369604,3.276213,33.93,41.95,33.93,41.95,114.591,58.606,0,16.26,0,0,0,0,0.064,0,0,0,1.717,0,0,37.943,54.271804,1.717313,58.610822,0,0,0,2503.89153,43.92306,4172.690673,0,0
Simulation204,204,Urban,24,8,4.49,Horizontal-Windows,3.01,3.07,4,3,2,10.46,TRUE,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2019,22.8,24.8,4.2,0.16,22.7,26.2,6.1,0.24,46664.63865,10393.01529,0.222717,0.428101,5.845575,46.77,40.25,46.77,40.25,115.386,60.95,0,16.117,0,0,0,0,0.317,0,0,0,1.76,0,0,36.242,113.63503,1.759869,0,0,0,1795.130952,0,54.581685,4202.789728,0,0
Simulation206,206,Suburbs,15,6,4.48,Horizontal-Windows,3.12,3.04,4,4,3,8.26,FALSE,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2016,21.7,25.1,5,0.19,21.7,24.8,6.6,0.31,50171.89073,11199.08275,0.223214,0.416564,4.962225,49.42,37.19,49.42,37.19,166.614,111.038,0,16.084,0,0,0,0,0.116,0,0,0,2.62,0,0,36.755,55.579696,0,111.04727,0,0,0,1232.49339,33.913412,2000.891305,340,5.7
Simulation208,208,Country,177,3,4.16,Vertical-Windows,3.06,2.91,5,3,3,12.09,FALSE,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2019,22.6,24.7,4.4,0.13,20.8,26.4,5.5,0.2,25430.85373,6113.185992,0.240385,0.243234,5.995952,26.97,22.8,26.97,22.8,106.557,54.613,0,15.533,0,0,0,0,0.286,0,0,0,3.475,0,0,32.65,106.565458,0,0,0,0,915.176064,0,67.951544,2174.449418,240,4.02
Simulation209,209,Urban,156,4,3.14,Vertical-Windows,2.54,3.1,3,3,2,11.09,TRUE,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,1980_2004,21.1,25.3,4.8,0.13,23.6,24.6,5.9,0.36,14123.79065,4498.0225,0.318471,0.168527,6.892134,19.15,15.32,19.15,15.32,102.064,49.648,0,15.671,0,0,0,0,0.254,0,0,0,3.466,0,0,33.024,98.606209,3.466617,0,0,0,611.846848,0,35.143746,1440.893566,0,0
Simulation210,210,Urban,92,1,4.2,Ribbon-Windows,3.67,3.38,3,4,4,9.41,FALSE,External-Shading,GEG,BoilerBaseboard,Gas_WaterHeater,2010,23.7,25.4,5.3,0.14,23.9,26.3,5,0.43,18827.65226,4482.774348,0.238095,0.559376,5.088539,47.4,69.04,47.4,69.04,257.076,205.305,0,14.165,0,0,0,0,0.175,0,0,0,13.37,0,0,24.06,38.403808,218.69243,0,0,674.06443,0,0,64.382542,901.35559,580,9.6
Simulation211,211,Country,16,4,3.82,Horizontal-Windows,3.16,3.52,4,5,4,11.3,TRUE,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,2004,21.5,25.8,4.9,0.1,21.6,24.8,5.5,0.27,54324.26278,14221.0112,0.26178,0.361106,3.869089,46.62,30.02,46.62,30.02,155.695,101.151,0,15.788,0,0,0,0,0.084,0,0,0,3.765,0,0,34.906,54.54788,101.159096,0,0,1433.71057,0,0,45.393218,1861.121946,650,10.8
Simulation212,212,Country,65,5,2.98,Vertical-Windows,2.79,3.85,4,4,3,12.86,TRUE,External-Shading,GEG,BoilerBaseboard,Gas_WaterHeater,2016,21.7,24.6,4.8,0.13,23.9,27,5.8,0.3,38287.40648,12848.12298,0.33557,0.191978,4.303577,17.1,23.23,17.1,23.23,143.741,89.404,0,15.894,0,0,0,0,0.074,0,0,0,3.204,0,0,35.166,51.138031,92.614775,0,0,1211.71021,0,0,31.587773,1579.388661,390,6.48
Simulation213,213,Suburbs,1,9,3.74,Ribbon-Windows,3.69,3.59,3,5,4,12.72,FALSE,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,1980_2004,23.9,25.6,5.2,0.15,23,24.1,6.4,0.16,128061.7293,34241.10408,0.26738,0.558301,3.208896,68.02,46.01,68.02,46.01,81.699,26.218,0,16.171,0,0,0,0,0.144,0,0,0,1.851,0,0,37.314,81.705057,0,0,0,0,2931.196817,0,83.20872,7155.949879,770,12.84
Simulation214,214,Suburbs,52,6,3.92,Horizontal-Windows,2.71,3.15,5,5,3,12.13,TRUE,External-Shading,GEG,BoilerBaseboard,Electric_TanklessHeater,2016,22.8,25,4.3,0.12,22.3,25.6,5.5,0.38,56364.20806,14378.62451,0.255102,0.400762,4.275876,37.58,44.41,37.58,44.41,172.345,117.098,0,16.105,0,0,0,0,0.096,0,0,0,2.191,0,0,36.856,55.25157,117.107416,0,0,1718.10538,0,0,38.154175,2251.096349,0,0
Simulation215,215,Urban,53,9,4.23,Vertical-Windows,3.64,3.15,3,3,2,11.36,FALSE,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2016,21.8,24.5,4.4,0.08,23.7,24.8,5.8,0.36,57813.40656,13667.472,0.236407,0.22501,5.273821,18.2,27,18.2,27,106.897,53.11,0,16.081,0,0,0,0,0.28,0,0,0,1.659,0,0,35.767,105.246339,1.659588,0,0,0,1909.524114,0,51.522421,4430.928233,0,0
Simulation217,217,Suburbs,174,5,2.99,Vertical-Windows,2.38,2.78,3,3,3,12.58,FALSE,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,pre_1980,23.5,24.8,4.5,0.15,20,25.2,5.2,0.25,18998.83645,6354.125904,0.334448,0.168341,6.379531,19.84,14.92,19.84,14.92,95.214,42.558,0,15.775,0,0,0,0,0.231,0,0,0,2.564,0,0,34.085,95.221718,0,0,0,0,787.290589,0,40.219018,2010.950889,180,3
Simulation221,221,Country,107,3,3.8,Vertical-Windows,3.14,2.54,3,4,2,10.24,TRUE,External-Shading,Passive,BoilerBaseboard,Gas_WaterHeater,2010,21.1,24.2,5.1,0.07,20.3,26.8,5.1,0.35,15420.34406,4057.98528,0.263158,0.196987,7.744151,12.43,26.47,12.43,26.47,207.443,153.444,0,15.561,0,0,0,0,0.123,0,0,0,5.66,0,0,32.655,48.341974,159.117222,0,0,586.79561,0,0,24.000294,768.009402,210,3.42
Simulation222,222,Suburbs,156,2,4.2,Vertical-Windows,2.29,3.3,4,5,3,10.5,TRUE,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_TanklessHeater,2013,21.5,24.2,5.4,0.06,24,25.6,6.4,0.5,18742.1157,4462.4085,0.238095,0.224333,5.71349,27.69,19.85,27.69,19.85,114.576,61.497,0,15.259,0,0,0,0,0.326,0,0,0,6.25,0,0,31.244,114.586018,0,0,0,0,678.290347,0,69.533179,1599.263106,0,0
Simulation223,223,Urban,78,7,3.13,Vertical-Windows,2.48,2.28,3,4,3,9.07,FALSE,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_TanklessHeater,2016,23,24.7,5.4,0.12,22.8,26.9,6,0.33,22864.75156,7305.032448,0.319489,0.150234,6.8572,11.64,19.58,11.64,19.58,98.809,43.612,0,16.083,0,0,0,0,0.233,0,0,0,2.288,0,0,36.593,98.816534,0,0,0,0,893.323055,0,31.458494,2139.177595,0,0
Simulation224,224,Urban,153,4,3.95,Ribbon-Windows,2.93,2.15,4,4,3,8.18,TRUE,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,2010,21.4,24.8,5.8,0.11,21.2,26.7,5.9,0.18,20461.31146,5180.07885,0.253165,0.550188,6.988546,65.23,47.25,65.23,47.25,196.776,141.099,0,15.853,0,0,0,0,0.113,0,0,0,4.49,0,0,35.221,51.191099,145.600347,0,0,776.38619,0,0,24.497453,1004.395556,0,0
Simulation225,225,Suburbs,125,2,4.29,Vertical-Windows,3.99,2.47,3,4,2,7.38,FALSE,External-Shading,GEG,ASHPBaseboard,Gas_WaterHeater,pre_1980,23.7,25.9,5.1,0.05,23.4,26.6,6.8,0.25,13812.62673,3219.72651,0.2331,0.21417,7.083211,13.64,27.99,13.64,27.99,129.5,73.974,0,15.293,0,0,0,0,0.412,0,0,0,8.638,0,0,31.183,120.872115,8.638406,0,0,0,550.199008,0,63.533348,1461.267014,250,4.26
Simulation226,226,Urban,75,7,3.96,Vertical-Windows,3.45,3.94,3,4,4,12.01,TRUE,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2010,21,24.7,5,0.16,22.1,24.1,7,0.46,95637.78164,24150.95496,0.252525,0.222196,3.344656,19.52,26.69,19.52,26.69,109.97,54.936,0,16.03,0,0,0,0,0.059,0,0,0,2.668,0,0,36.278,52.371235,2.66781,54.940007,0,0,0,1779.16349,43.339929,2947.115181,0,0
Simulation227,227,City,132,3,4.19,Horizontal-Windows,3.87,3.9,4,3,2,8.65,FALSE,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_TanklessHeater,2010,22.9,24.9,5,0.16,23.7,26.5,5.1,0.39,27635.73579,6595.641,0.238663,0.408897,5.646366,39.94,42.52,39.94,42.52,232.484,179.956,0,15.629,0,0,0,0,0.148,0,0,0,3.621,0,0,33.13,52.53259,179.970398,0,0,973.26578,0,0,40.223084,1287.138693,0,0
Simulation228,228,City,138,2,3.01,Vertical-Windows,2.55,2.88,3,4,3,9.57,FALSE,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2004,23.4,24.2,5.2,0.19,21.1,26.7,6.3,0.34,10278.36644,3414.73968,0.332226,0.171726,6.785159,19.7,15.6,19.7,15.6,101.696,48.279,0,15.114,0,0,0,0,0.256,0,0,0,7.938,0,0,30.108,93.766062,7.938445,0,0,0,460.512918,0,52.867311,1215.948156,0,0
Simulation229,229,Suburbs,34,9,3.9,Horizontal-Windows,2.78,3,4,4,2,11.98,FALSE,Low-SHGC-Value,GEG,BoilerBaseboard,Gas_TanklessHeater,pre_1980,22.6,24.6,4.8,0.19,23.6,24.6,6.3,0.21,51228.45,13135.5,0.25641,0.365923,5.326631,41.41,33.03,41.41,33.03,219.771,164.871,0,16.192,0,0,0,0,0.134,0,0,0,1.675,0,0,36.899,53.229403,166.55924,0,0,1843.1758,0,0,28.266254,2430.897852,0,0
Simulation230,230,Suburbs,128,9,3.12,Ribbon-Windows,2.56,3.82,4,4,2,9.13,TRUE,External-Shading,GEG,DHWBaseboard,Electric_TanklessHeater,1980_2004,23.1,24.1,5.2,0.08,22.3,26,5.5,0.22,43707.15648,14008.704,0.320513,0.526965,4.683261,49.96,58.65,49.96,58.65,145.285,89.929,0,16.25,0,0,0,0,0.095,0,0,0,1.473,0,0,37.538,55.359712,0,89.936429,0,0,0,1375.08317,26.575155,2285.463367,0,0
Simulation231,231,Urban,107,1,3.14,Horizontal-Windows,3.44,2.35,5,3,3,10.45,FALSE,External-Shading,GEG,DHWBaseboard,Gas_WaterHeater,2007,21.9,25.3,4.1,0.12,21.1,26.9,5.1,0.46,7368.905528,2346.7852,0.318471,0.28519,7.807322,22.77,36.4,22.77,36.4,197.795,148.053,0,14.359,0,0,0,0,0.155,0,0,0,10.351,0,0,24.877,39.39502,10.351847,148.065143,0,0,0,305.6628,35.875606,502.258482,220,3.66
Simulation232,232,Country,48,9,3.68,Ribbon-Windows,2.97,2.84,5,4,2,12.22,FALSE,Low-SHGC-Value,GEG,BoilerBaseboard,Gas_TanklessHeater,2010,23.1,25.9,4.9,0.09,21.1,26.9,5.2,0.2,53730.35078,14600.6388,0.271739,0.58835,5.181735,53.94,65.55,53.94,65.55,207.073,151.882,0,16.237,0,0,0,0,0.124,0,0,0,1.524,0,0,37.306,53.670891,153.418409,0,0,2027.60081,0,0,31.327872,2694.197022,0,0
Simulation233,233,Urban,40,2,2.88,Ribbon-Windows,3.21,3.89,3,5,4,10.03,TRUE,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,1980_2004,23.7,26,4.1,0.07,23.6,25.8,5.5,0.28,23764.22896,8251.468389,0.347222,0.479103,4.265958,59.19,41.48,59.19,41.48,188.213,135.44,0,15.092,0,0,0,0,0.117,0,0,0,7.255,0,0,30.308,52.776974,135.451012,0,0,865.15745,0,0,49.863803,1146.867459,730,12.12
Simulation234,234,Suburbs,17,2,3.5,Vertical-Windows,3.72,2.29,3,4,3,11.75,TRUE,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2010,23.1,25.4,4.4,0.08,22.6,26.5,6.5,0.33,15228.41985,4350.9771,0.285714,0.199663,6.518558,25.72,12.58,25.72,12.58,183.632,132.751,0,15.059,0,0,0,0,0.142,0,0,0,6.102,0,0,29.578,50.885328,0,132.761684,0,0,0,483.54014,34.838902,801.294757,310,5.16
Simulation236,236,Urban,132,4,3.59,Ribbon-Windows,3.36,2.39,3,3,2,8.19,FALSE,Low-SHGC-Value,GEG,DHWBaseboard,Electric_TanklessHeater,2013,23.9,25.8,4.1,0.17,20.3,26.7,5.8,0.32,14378.53158,4005.162,0.278552,0.53303,7.300921,44.03,63.07,44.03,63.07,209.838,156.855,0,15.753,0,0,0,0,0.165,0,0,0,3.179,0,0,33.886,52.987279,0,156.86715,0,0,0,519.41124,20.791322,852.444208,0,0
Simulation237,237,City,69,8,3.49,Horizontal-Windows,2.07,2.71,4,5,2,9.75,TRUE,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2007,22.7,25.5,5.7,0.1,22.8,24.9,5.4,0.42,29929.64277,8575.828875,0.286533,0.299108,6.348794,26.38,35.77,26.38,35.77,108.362,52.055,0,16.243,0,0,0,0,0.276,0,0,0,2.158,0,0,37.631,106.212664,2.157722,0,0,0,1217.433074,0,37.577336,2893.454844,0,0
Simulation238,238,Urban,6,3,3.24,Horizontal-Windows,2.48,2.12,5,3,4,7.88,TRUE,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2019,21.2,25.3,4.7,0.14,22.4,24.7,5.9,0.19,11578.09324,3573.485568,0.308642,0.269092,7.487031,30.88,25.17,30.88,25.17,108.578,53.923,0,15.591,0,0,0,0,0.273,0,0,0,5.241,0,0,33.551,103.344843,5.241172,0,0,0,527.932302,0,37.822791,1210.329315,0,0
Simulation239,239,Urban,132,7,3.31,Ribbon-Windows,3.9,3.05,4,5,3,12.48,FALSE,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2004,23.4,25.9,5.6,0.16,21,25.9,5.2,0.22,71613.76186,21635.5776,0.302115,0.561971,3.912382,47.46,65.01,47.46,65.01,80.855,25.662,0,16.12,0,0,0,0,0.134,0,0,0,2.074,0,0,36.864,80.861194,0,0,0,0,2050.82259,0,74.29386,5051.982505,540,8.94
Simulation240,240,Suburbs,50,10,3.05,Horizontal-Windows,2.5,3.83,5,4,3,9.51,TRUE,Low-SHGC-Value,GEG,BoilerBaseboard,Electric_WaterHeater,pre_1980,22.8,24.2,4.6,0.19,20.8,25.4,6.8,0.39,62737.54001,20569.68525,0.327869,0.310114,4.456448,30.47,32.58,30.47,32.58,146.74,90.727,0,16.303,0,0,0,0,0.075,0,0,0,1.439,0,0,38.197,56.017722,90.733792,0,0,2132.26138,0,0,29.42119,2795.013055,350,5.76
Simulation241,241,Country,98,3,4.04,Vertical-Windows,3.23,3.43,5,4,3,9.77,FALSE,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,1980_2004,21.5,25.3,6,0.13,23.2,26.8,6.1,0.2,33012.26808,8171.353484,0.247525,0.241333,4.974649,23.38,25.62,23.38,25.62,202.57,147.814,0,15.673,0,0,0,0,0.121,0,0,0,5.001,0,0,33.961,49.759461,152.826632,0,0,1068.17878,0,0,44.125824,1412.026362,0,0
Simulation242,242,Suburbs,30,8,3.52,Vertical-Windows,3.95,3.21,3,4,3,10.02,FALSE,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_TanklessHeater,2004,22.7,25.5,4.4,0.2,22.8,25.3,5.7,0.47,67807.36924,19263.45717,0.284091,0.20284,4.49429,25.38,15.76,25.38,15.76,82.335,26.841,0,16.125,0,0,0,0,0.141,0,0,0,2.427,0,0,36.802,79.9143,2.427501,0,0,0,1827.462929,0,55.343739,4261.467894,0,0
Simulation243,243,Urban,59,9,3.78,Ribbon-Windows,3.32,3.89,3,3,3,10.37,TRUE,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_TanklessHeater,2013,22.2,24.2,4,0.1,21.5,26.8,6.6,0.35,71757.49589,18983.46452,0.26455,0.544599,4.801217,48.33,65.43,48.33,65.43,159.999,105.399,0,16.117,0,0,0,0,0.088,0,0,0,1.882,0,0,36.513,52.72204,107.290278,0,0,2209.53904,0,0,33.814944,2908.08521,0,0
Simulation244,244,Suburbs,0,4,4.35,Vertical-Windows,2.28,2.32,3,4,3,8.04,FALSE,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_WaterHeater,2007,21.4,24.7,5.3,0.07,22.1,24,6.6,0.32,17335.55318,3985.18464,0.229885,0.182858,7.75316,25.03,14.03,25.03,14.03,261.361,206.434,0,15.779,0,0,0,0,0.166,0,0,0,4.325,0,0,34.658,54.930813,206.450101,0,0,688.15979,0,0,22.283919,913.640662,190,3.18
Simulation245,245,Suburbs,137,4,3.92,Ribbon-Windows,3.32,3.46,4,4,3,11.16,TRUE,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,2004,22.1,24.8,4.9,0.13,20.9,26.1,6.8,0.47,41724.63492,10644.03952,0.255102,0.577882,4.622065,67.46,51.65,67.46,51.65,91.67,37.984,0,15.782,0,0,0,0,0.195,0,0,0,3.185,0,0,34.524,91.677309,0,0,0,0,1327.447788,0,76.28974,3127.87935,0,0
Simulation246,246,City,140,1,2.99,Vertical-Windows,3.17,2.9,3,4,3,11.4,TRUE,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,2007,22.5,25.7,5.7,0.14,21.3,24.6,5.7,0.44,8784.867572,2938.0828,0.334448,0.184536,6.568597,22.05,15.4,22.05,15.4,106.279,56.355,0,14.201,0,0,0,0,0.302,0,0,0,11.544,0,0,23.877,94.741592,11.544744,0,0,0,405.524815,0,68.865601,964.11842,0,0
Simulation247,247,Country,6,1,3.92,Ribbon-Windows,2.82,2.56,3,4,4,11.84,FALSE,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,pre_1980,21.4,24.1,5.7,0.17,21.4,26.5,5.6,0.17,11464.59783,2924.642304,0.255102,0.536171,6.392625,66.5,43.91,66.5,43.91,108.053,58.45,0,14.104,0,0,0,0,0.297,0,0,0,11.708,0,0,23.494,96.352899,11.70893,0,0,0,440.610381,0,71.168631,996.360839,0,0
Simulation248,248,Country,45,7,2.93,Vertical-Windows,2.95,2.71,4,4,4,9.65,TRUE,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_WaterHeater,2007,23,24.1,4.7,0.19,23.6,27,5.2,0.28,40260.97354,13740.9466,0.341297,0.160533,4.695882,21.06,13.14,21.06,13.14,145.606,89.543,0,16.11,0,0,0,0,0.075,0,0,0,2.874,0,0,37.004,53.192798,92.424786,0,0,1287.85645,0,0,24.839096,1689.05852,370,6.18
Simulation249,249,City,108,7,3.77,Horizontal-Windows,2.83,2.23,5,3,2,11.92,FALSE,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,2007,21.8,25,4.4,0.11,21.4,25.3,5.4,0.32,27046.85132,7174.23112,0.265252,0.314279,7.057665,26.7,37.45,26.7,37.45,109.15,55.345,0,16.088,0,0,0,0,0.276,0,0,0,1.396,0,0,36.044,109.159044,0,0,0,0,1178.554832,0,38.25167,2601.113579,0,0
Simulation250,250,Suburbs,100,8,3.82,Vertical-Windows,2.12,2.25,3,3,2,7.74,FALSE,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2007,23.2,24.7,5.6,0.2,21.5,25.8,6,0.31,16514.05482,4323.051,0.26178,0.161739,8.968405,14.08,19.57,14.08,19.57,136.911,81.766,0,16.122,0,0,0,0,0.432,0,0,0,2.163,0,0,36.427,136.92175,0,0,0,0,911.551488,0,30.873335,2377.24681,90,1.56
Simulation251,251,Suburbs,134,2,4.4,Horizontal-Windows,3.43,2.83,4,4,4,7.95,FALSE,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_WaterHeater,2010,21.8,24.5,5.1,0.11,20.7,24,6.1,0.3,23860.14261,5422.759685,0.227273,0.360939,5.065936,30.66,45.36,30.66,45.36,108.259,53.031,0,15.191,0,0,0,0,0.275,0,0,0,8.747,0,0,31.016,99.520632,8.747271,0,0,0,770.167553,0,75.905528,1745.827148,450,7.5
Simulation253,253,Urban,133,10,3.14,Vertical-Windows,3.04,2.7,3,4,4,8.42,FALSE,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,2016,22.4,24.5,5.1,0.09,21.4,25.6,5.2,0.4,54267.36601,17282.60064,0.318471,0.18152,4.408248,15.92,21.65,15.92,21.65,141.677,85.624,0,16.238,0,0,0,0,0.069,0,0,0,1.876,0,0,37.87,56.058132,85.630541,0,0,1657.29383,0,0,23.03991,2188.791451,380,6.36
Simulation254,254,City,80,8,3.69,Ribbon-Windows,2.75,2.82,3,3,4,7.79,TRUE,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,1980_2004,21.9,25.6,5.2,0.14,23.2,24.4,5.8,0.16,40205.12359,10895.69745,0.271003,0.494164,5.510714,43.88,61.37,43.88,61.37,101.044,45.216,0,16.117,0,0,0,0,0.236,0,0,0,2.533,0,0,36.942,98.519475,2.533057,0,0,0,1525.325154,0,48.703627,3750.179265,0,0
Simulation255,255,Suburbs,101,4,4.13,Ribbon-Windows,3.4,3.72,4,4,2,8.43,FALSE,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,2004,22.8,24.8,5.4,0.06,23.2,24.4,5.4,0.22,34828.51302,8433.054,0.242131,0.600657,4.94445,55.51,67.65,55.51,67.65,102.903,48.243,0,15.912,0,0,0,0,0.253,0,0,0,3.163,0,0,35.331,102.910899,0,0,0,0,1197.33431,0,70.4504,2888.46638,0,0
Simulation256,256,Suburbs,37,4,3.61,Horizontal-Windows,2.56,2.83,5,4,3,10.81,TRUE,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,2007,21.1,25.6,4.6,0.08,23.2,26,5.6,0.23,25587.49979,7087.95008,0.277008,0.330429,6.230865,38.16,30.41,38.16,30.41,101.218,46.796,0,15.854,0,0,0,0,0.238,0,0,0,3.227,0,0,35.103,101.226833,0,0,0,0,955.162998,0,55.424492,2272.404183,260,4.38
Simulation257,257,Suburbs,119,7,3.06,Vertical-Windows,2.53,3.46,4,4,4,9.7,FALSE,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2007,22,25.9,4.4,0.17,23.8,24.9,6.5,0.21,46137.28807,15077.54512,0.326797,0.163809,4.38799,14.97,19.99,14.97,19.99,84.503,28.495,0,16.109,0,0,0,0,0.15,0,0,0,2.753,0,0,36.995,81.757038,2.75321,0,0,0,1565.466691,0,56.052093,3811.5423,0,0
Simulation258,258,Urban,139,6,3.78,Horizontal-Windows,3.39,3.26,4,5,3,11.72,TRUE,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2013,22.2,25.4,6,0.19,23.3,25.4,5.7,0.47,64511.20365,17066.45599,0.26455,0.38066,4.082544,44.65,32.94,44.65,32.94,82.209,26.523,0,16.06,0,0,0,0,0.136,0,0,0,2.985,0,0,36.505,79.230767,2.984813,0,0,0,1868.203036,0,75.682336,4465.257849,0,0
Simulation259,259,Suburbs,174,8,4.11,Ribbon-Windows,3.91,3.49,5,4,2,8.48,TRUE,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_TanklessHeater,2013,22.3,26,5.8,0.09,23.2,24.1,6.8,0.17,77486.55106,18853.17544,0.243309,0.619831,4.731649,68.62,57.76,68.62,57.76,98.234,41.932,0,16.278,0,0,0,0,0.217,0,0,0,1.907,0,0,37.9,96.33481,1.907287,0,0,0,2365.593436,0,74.825301,5761.548198,0,0
Simulation260,260,Urban,7,3,3.73,Vertical-Windows,2.37,3.34,5,5,3,7.88,TRUE,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_TanklessHeater,pre_1980,21.7,24.2,5.8,0.18,23.7,25.4,6.2,0.39,23639.6438,6337.706112,0.268097,0.208773,5.989379,24.32,19.55,24.32,19.55,103.236,47.612,0,15.782,0,0,0,0,0.249,0,0,0,4.609,0,0,34.984,103.244373,0,0,0,0,863.324736,0,63.461743,2030.77579,0,0
Simulation261,261,Country,1,6,3.17,Vertical-Windows,2.45,3.38,4,5,2,12.35,FALSE,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,1980_2004,21.9,24.3,5.6,0.08,22.9,26.1,6.4,0.22,33135.03443,10452.69225,0.315457,0.186444,5.748599,22.94,15.86,22.94,15.86,89.593,34.768,0,16.082,0,0,0,0,0.18,0,0,0,2.23,0,0,36.334,89.600266,0,0,0,0,1204.033791,0,49.319432,2909.846503,270,4.44
Simulation262,262,City,124,2,3.17,Ribbon-Windows,2.02,2.57,3,3,3,12.43,TRUE,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,1980_2004,21.3,25.8,4.8,0.16,21.7,24.3,6.4,0.41,7554.136444,2383.008342,0.315457,0.472593,8.366737,41.37,57.42,41.37,57.42,180.731,130.901,0,14.967,0,0,0,0,0.135,0,0,0,6.042,0,0,28.686,43.791495,6.042096,130.911681,0,0,0,286.39982,20.133514,463.070829,0,0
