,Terrain,Orientation,NumberOfFloors,FloorHeight,Fassade,RasterLength-X,RasterLength-Y,Arm-Latitudinal-NumberOfSegments,Arm-Longitudinal-NumberOfSegments,BaseBody-Inside-Latditudinal-NumberOfSegments,Courtyard_SegmentCount_RasterLength-Y,Has_Courtyard-Roof,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingVintage
26,Suburbs,69,8,3.32,Vertical-Windows,2.09,2.59,4,3,3,11.73,False,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,2007
27,Suburbs,128,2,3.88,Vertical-Windows,2.07,3.84,4,4,3,11.18,True,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_TanklessHeater,2016
28,Suburbs,9,1,3.16,Vertical-Windows,3.3,2.87,4,4,4,10.27,True,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,2016
29,Country,168,2,4.1,Vertical-Windows,2.61,3.82,5,3,3,9.34,False,Low-SHGC-Value,NZEB,BoilerBaseboard,HeatPump_WaterHeater,2004
30,Urban,134,7,4.3,Ribbon-Windows,3.01,3.88,5,5,4,8.27,False,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_WaterHeater,2004
31,Urban,118,7,4.07,Vertical-Windows,2.18,2.12,5,3,2,8.96,False,External-Shading,GEG,DHWBaseboard,Electric_WaterHeater,2010
32,Suburbs,56,10,4.21,Horizontal-Windows,2.23,2.77,4,3,3,10.69,False,External-Shading,GEG,DHWBaseboard,Electric_TanklessHeater,2004
33,Suburbs,127,8,3.98,Horizontal-Windows,2.92,3.52,3,4,3,10.9,True,External-Shading,GEG,DHWBaseboard,HeatPump_WaterHeater,pre_1980
34,Urban,159,4,4.24,Vertical-Windows,2.58,2.67,4,4,4,10.44,False,External-Shading,Passive,BoilerBaseboard,Gas_WaterHeater,1980_2004
35,Urban,7,4,3.13,Ribbon-Windows,3.94,3.5,5,5,3,9.86,True,Low-SHGC-Value,GEG,DHWBaseboard,HeatPump_WaterHeater,1980_2004
36,Suburbs,5,9,4.45,Vertical-Windows,2.38,2.81,5,5,4,9.28,False,External-Shading,GEG,BoilerBaseboard,Electric_WaterHeater,2007
37,Country,21,2,3.64,Vertical-Windows,3.49,3.47,3,4,4,9.98,True,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2004
38,Suburbs,60,3,3.07,Vertical-Windows,2.75,3.24,5,4,3,9.27,True,Low-SHGC-Value,Passive,DHWBaseboard,Gas_TanklessHeater,2007
39,City,55,5,4.17,Vertical-Windows,3.54,3.07,4,5,2,10.86,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2007
40,Suburbs,30,3,3.42,Vertical-Windows,2.57,2.89,3,4,3,9.56,True,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,pre_1980
41,Urban,31,5,3.14,Horizontal-Windows,2.73,2.89,3,4,3,10.96,False,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_WaterHeater,2010
42,Urban,57,9,3.25,Vertical-Windows,3.95,3.73,5,3,2,8.21,False,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2013
43,Country,123,10,2.87,Vertical-Windows,3.79,2.85,3,3,2,8.64,False,External-Shading,GEG,ASHPBaseboard,HeatPump_WaterHeater,2010
44,Suburbs,87,2,3.57,Horizontal-Windows,2.2,3.01,4,4,3,9.08,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2007
45,Suburbs,8,8,3.97,Ribbon-Windows,3.41,3.13,3,4,3,12.28,True,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,2004
46,Country,172,1,3.46,Vertical-Windows,3.16,2.94,4,4,3,12.75,True,External-Shading,NZEB,BoilerBaseboard,Electric_TanklessHeater,2016
47,Suburbs,132,3,4.32,Vertical-Windows,3.13,2.73,4,3,4,8.39,True,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,2013
48,City,113,4,4.06,Horizontal-Windows,2.31,3.75,3,4,3,10.16,False,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2004
49,Suburbs,43,2,2.92,Vertical-Windows,2.69,3.57,3,4,3,10.99,True,Low-SHGC-Value,GEG,DHWBaseboard,HeatPump_WaterHeater,2016
50,City,82,6,3.74,Ribbon-Windows,3.33,3.58,4,4,2,8.74,True,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_TanklessHeater,2019
51,Urban,89,8,4.38,Vertical-Windows,3.99,2.82,5,4,3,12.62,True,External-Shading,GEG,ASHPBaseboard,Electric_TanklessHeater,1980_2004
52,Urban,109,7,4.4,Horizontal-Windows,2.01,3.76,5,4,3,12.56,True,Low-SHGC-Value,GEG,BoilerBaseboard,Gas_WaterHeater,1980_2004
53,Urban,63,9,3.87,Horizontal-Windows,3.21,2.63,4,4,2,9.84,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,pre_1980
54,Urban,168,7,3.49,Vertical-Windows,2.3,2.14,5,3,4,11.59,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2007
55,Urban,144,7,2.86,Vertical-Windows,3.73,2.73,4,3,3,12.4,False,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,2004
56,City,96,3,4.37,Ribbon-Windows,3.6,3.66,4,4,3,12.71,False,External-Shading,GEG,BoilerBaseboard,Gas_TanklessHeater,pre_1980
57,Country,13,5,3.24,Horizontal-Windows,3.04,3.11,4,4,4,12.03,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,1980_2004
58,Suburbs,39,6,4.24,Ribbon-Windows,3.04,2.64,3,3,2,9.48,False,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_WaterHeater,2010
59,Country,177,3,4.35,Vertical-Windows,2.67,2.99,5,4,2,7.67,True,External-Shading,GEG,BoilerBaseboard,HeatPump_WaterHeater,2019
60,Suburbs,137,9,4.46,Ribbon-Windows,3.83,3.48,3,5,2,10.55,False,External-Shading,Passive,ASHPBaseboard,HeatPump_WaterHeater,2013
61,Country,126,3,3.21,Ribbon-Windows,3.22,3.45,5,3,2,11.29,True,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_TanklessHeater,2007
62,Suburbs,66,5,3.04,Horizontal-Windows,2.81,3.43,4,4,4,12.07,False,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,2007
63,Urban,44,6,3.1,Horizontal-Windows,2.89,3.22,5,5,3,9.0,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2013
64,Country,93,2,3.86,Horizontal-Windows,3.31,3.98,4,5,3,8.05,False,Low-SHGC-Value,Passive,DHWBaseboard,HeatPump_WaterHeater,2019
65,Suburbs,35,4,3.69,Vertical-Windows,3.32,2.61,4,5,3,12.17,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_WaterHeater,2004
66,City,135,7,2.91,Horizontal-Windows,3.88,2.17,4,4,3,8.56,True,External-Shading,GEG,DHWBaseboard,Gas_WaterHeater,2016
67,City,11,7,4.31,Vertical-Windows,3.96,3.51,4,3,4,7.71,True,External-Shading,GEG,BoilerBaseboard,Electric_TanklessHeater,1980_2004
68,Country,10,3,4.44,Vertical-Windows,2.48,3.26,4,3,4,10.02,False,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,1980_2004
69,Urban,25,8,3.91,Horizontal-Windows,3.84,2.7,5,5,4,8.78,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,1980_2004
70,Urban,161,5,3.59,Vertical-Windows,2.62,3.56,4,4,3,12.77,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,2010
71,City,41,9,4.38,Vertical-Windows,2.44,3.37,3,5,3,7.51,True,Low-SHGC-Value,Passive,ASHPBaseboard,HeatPump_WaterHeater,2004
72,Country,158,2,3.44,Vertical-Windows,3.11,2.22,5,4,2,12.57,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,2010
73,Suburbs,129,4,3.76,Ribbon-Windows,3.09,2.14,4,4,4,11.38,False,External-Shading,Passive,ASHPBaseboard,Gas_WaterHeater,pre_1980
74,City,98,8,2.85,Ribbon-Windows,2.04,2.53,4,4,4,9.51,False,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,1980_2004
75,Urban,15,9,4.29,Ribbon-Windows,2.51,2.44,3,4,4,12.18,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,1980_2004
76,Urban,133,5,2.8,Vertical-Windows,3.62,3.56,4,3,3,11.68,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2010
77,City,136,4,3.15,Vertical-Windows,3.46,2.69,4,4,3,9.25,False,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,2010
78,Urban,144,6,4.21,Vertical-Windows,3.92,2.75,4,4,3,10.51,False,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2010
79,City,107,5,3.03,Vertical-Windows,2.8,2.99,4,4,3,9.6,False,External-Shading,Passive,ASHPBaseboard,HeatPump_WaterHeater,2004
80,Suburbs,170,7,4.39,Horizontal-Windows,2.68,3.93,4,4,4,10.76,True,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2016
81,City,103,10,2.95,Horizontal-Windows,3.39,3.72,4,4,3,8.82,False,External-Shading,GEG,BoilerBaseboard,Gas_TanklessHeater,2007
82,City,12,7,4.11,Horizontal-Windows,2.89,3.65,4,3,3,7.89,True,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,1980_2004
83,Urban,90,2,3.88,Ribbon-Windows,2.03,3.11,4,4,3,12.36,True,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,2010
84,Suburbs,126,6,3.37,Ribbon-Windows,3.71,2.16,4,5,3,9.83,True,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2019
85,Urban,65,9,3.87,Vertical-Windows,3.44,3.36,5,4,3,8.14,True,External-Shading,Passive,ASHPBaseboard,Gas_WaterHeater,2016
86,City,76,5,3.32,Horizontal-Windows,2.45,2.55,4,3,3,9.49,False,External-Shading,NZEB,DHWBaseboard,HeatPump_WaterHeater,2004
87,Suburbs,91,7,2.88,Vertical-Windows,2.11,3.83,5,3,3,9.37,False,Low-SHGC-Value,NZEB,BoilerBaseboard,HeatPump_WaterHeater,2013
88,Country,135,6,2.84,Vertical-Windows,2.2,2.93,3,4,4,11.53,True,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2016
89,Country,55,6,3.7,Vertical-Windows,2.59,3.15,5,4,2,7.84,False,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2019
90,Country,42,2,2.9,Ribbon-Windows,3.51,3.13,4,5,3,11.52,True,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,2013
91,Urban,7,6,4.0,Ribbon-Windows,3.81,2.0,3,4,3,7.2,True,External-Shading,GEG,DHWBaseboard,Electric_WaterHeater,pre_1980
92,Urban,153,7,4.22,Vertical-Windows,3.75,2.72,4,4,4,11.22,True,External-Shading,Passive,DHWBaseboard,HeatPump_WaterHeater,2004
93,City,6,7,3.85,Horizontal-Windows,3.01,3.2,3,5,3,7.31,True,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,2004
94,City,67,1,3.13,Vertical-Windows,3.25,3.92,5,3,3,8.26,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,1980_2004
95,Suburbs,8,4,4.22,Horizontal-Windows,2.99,3.39,3,4,3,10.26,True,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2004
96,Country,45,1,3.95,Ribbon-Windows,2.04,4.0,3,4,3,11.21,False,Low-SHGC-Value,GEG,ASHPBaseboard,HeatPump_WaterHeater,1980_2004
97,Urban,22,8,3.73,Vertical-Windows,2.94,3.4,4,4,3,10.64,False,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2013
98,Country,21,5,4.03,Vertical-Windows,2.93,3.64,4,4,2,11.79,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2007
99,Country,84,10,3.75,Vertical-Windows,3.19,3.69,3,4,4,11.56,False,Low-SHGC-Value,GEG,DHWBaseboard,Gas_TanklessHeater,2013
100,Urban,74,7,3.41,Ribbon-Windows,3.07,2.12,4,4,3,11.12,False,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,1980_2004
101,Country,176,1,3.18,Ribbon-Windows,3.35,3.78,4,3,3,7.0,True,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,2004
102,Urban,158,3,2.8,Vertical-Windows,3.47,2.48,4,5,3,11.99,True,External-Shading,Passive,ASHPBaseboard,HeatPump_WaterHeater,2016
103,Suburbs,108,5,3.67,Vertical-Windows,2.58,3.27,4,3,4,7.07,False,Low-SHGC-Value,GEG,BoilerBaseboard,Electric_WaterHeater,2016
104,City,153,8,3.78,Vertical-Windows,3.78,3.41,4,3,2,11.58,True,External-Shading,Passive,DHWBaseboard,Electric_WaterHeater,1980_2004
105,City,101,3,3.21,Ribbon-Windows,2.14,2.37,3,3,3,10.29,False,Low-SHGC-Value,GEG,DHWBaseboard,HeatPump_WaterHeater,2013
106,City,30,3,3.49,Horizontal-Windows,3.19,2.81,4,5,3,11.82,True,Low-SHGC-Value,NZEB,DHWBaseboard,HeatPump_WaterHeater,2016
107,Suburbs,105,9,3.0,Horizontal-Windows,2.19,2.28,3,4,4,7.94,False,Low-SHGC-Value,GEG,BoilerBaseboard,Electric_WaterHeater,2010
108,Suburbs,115,2,3.08,Horizontal-Windows,2.35,3.59,5,3,4,10.07,False,Low-SHGC-Value,GEG,BoilerBaseboard,HeatPump_WaterHeater,2010
109,Urban,4,4,4.32,Vertical-Windows,2.63,3.86,4,4,3,7.79,False,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2019
110,Urban,101,2,3.63,Ribbon-Windows,2.57,3.92,5,3,3,7.17,False,Low-SHGC-Value,NZEB,DHWBaseboard,HeatPump_WaterHeater,2013
111,Suburbs,175,8,3.45,Ribbon-Windows,2.41,3.65,4,4,3,12.64,True,External-Shading,Passive,BoilerBaseboard,Gas_WaterHeater,2007
112,Urban,59,7,4.37,Vertical-Windows,3.57,2.4,4,5,4,7.25,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2016
113,City,124,5,3.67,Ribbon-Windows,3.12,2.35,5,3,3,11.83,False,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2016
114,City,54,6,3.02,Horizontal-Windows,2.86,3.18,3,3,4,11.55,False,Low-SHGC-Value,NZEB,BoilerBaseboard,HeatPump_WaterHeater,2013
115,Country,0,4,3.9,Ribbon-Windows,2.99,2.55,5,4,3,7.11,False,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2013
116,Suburbs,124,4,2.94,Horizontal-Windows,3.41,3.58,3,4,4,10.25,False,External-Shading,GEG,DHWBaseboard,Electric_WaterHeater,2010
117,Suburbs,174,4,3.2,Vertical-Windows,2.69,3.45,4,4,4,11.34,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2013
118,Suburbs,54,2,3.12,Vertical-Windows,2.85,3.66,4,5,3,7.9,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2004
119,Country,150,5,3.75,Ribbon-Windows,3.98,2.26,4,5,2,11.8,False,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,pre_1980
120,Suburbs,80,2,3.61,Vertical-Windows,3.05,2.15,3,4,3,7.57,False,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2010
121,Urban,109,5,2.92,Ribbon-Windows,3.82,3.91,3,4,4,8.41,True,Low-SHGC-Value,GEG,BoilerBaseboard,Electric_WaterHeater,2010
122,Urban,88,5,3.07,Vertical-Windows,3.93,2.58,4,5,3,7.91,False,External-Shading,NZEB,BoilerBaseboard,Electric_TanklessHeater,2010
123,Suburbs,11,6,3.83,Vertical-Windows,3.89,3.43,4,4,3,11.69,True,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,1980_2004
124,Urban,98,9,4.41,Horizontal-Windows,3.27,3.34,5,5,2,8.85,True,Low-SHGC-Value,GEG,DHWBaseboard,HeatPump_WaterHeater,2007
125,Country,149,3,4.15,Vertical-Windows,2.12,2.51,3,5,2,10.74,True,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2010
126,Suburbs,56,8,3.68,Vertical-Windows,3.7,3.89,5,3,4,7.12,False,External-Shading,NZEB,DHWBaseboard,Electric_TanklessHeater,2019
127,Suburbs,148,10,3.55,Vertical-Windows,3.06,3.38,5,3,2,9.36,False,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,2016
128,Country,74,1,3.79,Vertical-Windows,2.04,3.23,3,5,3,9.13,True,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,2007
129,Suburbs,78,3,4.16,Horizontal-Windows,3.45,2.65,4,4,3,7.24,False,External-Shading,GEG,ASHPBaseboard,HeatPump_WaterHeater,2010
130,Country,46,6,4.33,Ribbon-Windows,2.29,2.84,3,4,3,10.91,False,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2007
131,Country,131,7,3.82,Ribbon-Windows,2.08,3.27,5,3,3,11.74,False,External-Shading,Passive,ASHPBaseboard,Gas_WaterHeater,2016
132,Urban,73,2,3.41,Vertical-Windows,3.85,3.68,4,5,2,9.8,False,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,2016
133,Suburbs,28,3,3.82,Vertical-Windows,2.15,3.34,3,5,2,9.06,True,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2007
134,City,48,5,2.89,Vertical-Windows,2.31,3.47,5,5,3,9.54,True,Low-SHGC-Value,GEG,DHWBaseboard,HeatPump_WaterHeater,2007
135,Country,163,2,4.28,Horizontal-Windows,2.65,2.67,4,4,4,10.08,True,External-Shading,GEG,BoilerBaseboard,Gas_TanklessHeater,2010
136,Country,38,3,3.53,Vertical-Windows,2.45,2.69,3,3,4,12.93,True,Low-SHGC-Value,GEG,BoilerBaseboard,HeatPump_WaterHeater,2016
137,City,69,7,3.88,Ribbon-Windows,3.22,2.85,3,4,4,12.65,True,External-Shading,NZEB,DHWBaseboard,Electric_TanklessHeater,1980_2004
138,Urban,78,2,4.48,Vertical-Windows,2.18,3.74,4,4,3,7.19,True,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_WaterHeater,2004
139,City,131,5,3.48,Horizontal-Windows,2.25,2.09,4,5,3,10.03,True,External-Shading,Passive,DHWBaseboard,Electric_TanklessHeater,2016
140,City,79,4,4.33,Ribbon-Windows,3.7,3.25,4,5,3,8.31,False,External-Shading,GEG,BoilerBaseboard,Electric_TanklessHeater,2016
141,Country,44,8,3.28,Horizontal-Windows,3.87,3.1,4,3,2,10.63,True,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,2016
142,Country,97,8,4.26,Ribbon-Windows,2.27,3.87,4,5,3,8.5,False,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2007
143,Suburbs,22,2,3.48,Ribbon-Windows,3.16,3.16,4,3,3,12.99,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2019
144,City,16,4,4.33,Vertical-Windows,2.47,3.81,3,3,2,8.02,False,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,2007
145,Country,61,10,2.83,Horizontal-Windows,3.21,2.34,4,3,3,12.0,False,External-Shading,Passive,BoilerBaseboard,HeatPump_WaterHeater,2010
146,Country,52,5,3.72,Vertical-Windows,3.0,2.4,3,3,3,11.5,False,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_TanklessHeater,2010
147,Urban,16,8,3.35,Vertical-Windows,3.78,3.32,4,5,3,11.63,True,External-Shading,GEG,ASHPBaseboard,HeatPump_WaterHeater,pre_1980
148,Urban,92,8,4.03,Ribbon-Windows,2.65,3.9,5,4,4,10.4,True,External-Shading,Passive,DHWBaseboard,HeatPump_WaterHeater,1980_2004
149,Urban,24,4,3.59,Ribbon-Windows,3.1,3.68,4,5,3,12.81,True,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2016
150,City,156,1,2.93,Vertical-Windows,3.85,2.82,4,3,4,10.45,False,External-Shading,Passive,ASHPBaseboard,HeatPump_WaterHeater,2013
151,Suburbs,106,5,4.02,Horizontal-Windows,2.85,3.29,5,4,4,7.28,True,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,2016
152,Urban,71,10,3.36,Ribbon-Windows,2.88,3.8,3,4,3,10.39,True,External-Shading,Passive,ASHPBaseboard,Electric_TanklessHeater,2013
153,Urban,83,4,2.9,Vertical-Windows,3.74,3.46,5,3,3,8.2,False,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2019
154,Country,146,6,4.47,Vertical-Windows,2.78,2.39,4,4,4,8.0,True,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2010
155,Suburbs,80,1,4.14,Horizontal-Windows,2.37,3.12,5,4,3,9.2,True,External-Shading,Passive,ASHPBaseboard,Electric_TanklessHeater,2010
156,Suburbs,18,1,3.17,Vertical-Windows,2.99,2.86,4,3,3,7.47,False,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,2007
157,Suburbs,106,8,3.72,Ribbon-Windows,3.28,2.71,4,3,3,11.3,False,External-Shading,Passive,DHWBaseboard,Electric_TanklessHeater,2007
158,Country,39,6,3.26,Horizontal-Windows,3.49,2.43,4,4,2,7.44,True,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,2013
159,Suburbs,98,4,4.13,Vertical-Windows,2.68,3.71,3,4,3,10.17,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2010
160,City,37,5,3.66,Horizontal-Windows,2.72,2.3,4,4,3,9.55,True,Low-SHGC-Value,NZEB,DHWBaseboard,HeatPump_WaterHeater,2007
161,Suburbs,27,9,3.22,Vertical-Windows,3.43,3.19,5,5,3,11.17,False,External-Shading,GEG,ASHPBaseboard,Electric_TanklessHeater,2013
162,Suburbs,41,2,4.43,Ribbon-Windows,2.8,3.15,3,4,3,11.16,False,External-Shading,Passive,DHWBaseboard,Gas_TanklessHeater,2013
163,City,83,10,3.62,Vertical-Windows,2.51,2.6,5,3,4,11.51,False,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,1980_2004
164,Suburbs,43,8,3.19,Vertical-Windows,2.36,3.78,4,4,3,7.97,False,External-Shading,NZEB,BoilerBaseboard,Gas_WaterHeater,2007
165,Urban,174,5,3.95,Ribbon-Windows,3.13,3.63,5,3,2,8.61,False,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2013
166,Urban,61,8,3.77,Horizontal-Windows,3.0,3.0,5,3,2,12.9,False,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2010
